item_id,item_name,category,dimensions,weight,fragility,expiry_date,current_location,entry_date
ITEM_0000,Product_0,Electronics,"{'length': 53, 'width': 27, 'height': 6}",16.28,False,2023-01-01,ZONE_3-R10-B8,2022-01-01
ITEM_0001,Product_1,Electronics,"{'length': 65, 'width': 27, 'height': 23}",16.28,True,2023-01-02,ZONE_3-R7-B13,2022-01-02
ITEM_0002,Product_2,Clothing,"{'length': 89, 'width': 49, 'height': 27}",16.28,False,2023-01-03,ZONE_2-R6-B6,2022-01-03
ITEM_0003,Product_3,Electronics,"{'length': 88, 'width': 29, 'height': 12}",16.28,True,2023-01-04,ZONE_5-R10-B1,2022-01-04
ITEM_0004,Product_4,Clothing,"{'length': 52, 'width': 29, 'height': 29}",16.28,True,2023-01-05,ZONE_2-R6-B7,2022-01-05
ITEM_0005,Product_5,Electronics,"{'length': 21, 'width': 41, 'height': 14}",16.28,False,2023-01-06,ZONE_3-R9-B12,2022-01-06
ITEM_0006,Product_6,Pharmaceuticals,"{'length': 88, 'width': 14, 'height': 7}",16.28,True,2023-01-07,ZONE_3-R6-B18,2022-01-07
ITEM_0007,Product_7,Furniture,"{'length': 26, 'width': 19, 'height': 15}",16.28,False,2023-01-08,ZONE_5-R1-B8,2022-01-08
ITEM_0008,Product_8,Food,"{'length': 49, 'width': 10, 'height': 17}",16.28,False,2023-01-09,ZONE_5-R5-B15,2022-01-09
ITEM_0009,Product_9,Clothing,"{'length': 73, 'width': 47, 'height': 16}",16.28,False,2023-01-10,ZONE_4-R6-B5,2022-01-10
ITEM_0010,Product_10,Food,"{'length': 66, 'width': 38, 'height': 29}",16.28,True,2023-01-11,ZONE_2-R4-B20,2022-01-11
ITEM_0011,Product_11,Furniture,"{'length': 66, 'width': 31, 'height': 15}",16.28,False,2023-01-12,ZONE_4-R6-B20,2022-01-12
ITEM_0012,Product_12,Furniture,"{'length': 94, 'width': 29, 'height': 13}",16.28,True,2023-01-13,ZONE_4-R8-B3,2022-01-13
ITEM_0013,Product_13,Food,"{'length': 28, 'width': 42, 'height': 25}",16.28,False,2023-01-14,ZONE_1-R10-B5,2022-01-14
ITEM_0014,Product_14,Electronics,"{'length': 11, 'width': 26, 'height': 23}",16.28,False,2023-01-15,ZONE_3-R9-B17,2022-01-15
ITEM_0015,Product_15,Clothing,"{'length': 54, 'width': 43, 'height': 16}",16.28,True,2023-01-16,ZONE_4-R1-B13,2022-01-16
