log_id,item_id,timestamp,movement_type,location,order_id
LOG_00000,ITEM_0702,2023-01-01 00:00:00,out,B17,ORD_0000
LOG_00001,ITEM_0979,2023-01-01 01:00:00,out,B1,ORD_0001
LOG_00002,ITEM_0679,2023-01-01 02:00:00,out,B9,ORD_0002
LOG_00003,ITEM_0659,2023-01-01 03:00:00,in,B1,ORD_0003
LOG_00004,ITEM_0678,2023-01-01 04:00:00,in,B13,ORD_0004
LOG_00005,ITEM_0043,2023-01-01 05:00:00,out,B13,ORD_0005
LOG_00006,ITEM_0796,2023-01-01 06:00:00,in,B16,ORD_0006
LOG_00007,ITEM_0636,2023-01-01 07:00:00,in,B5,ORD_0007
LOG_00008,ITEM_0254,2023-01-01 08:00:00,out,B9,ORD_0008
LOG_00009,ITEM_0761,2023-01-01 09:00:00,out,B19,ORD_0009
LOG_00010,ITEM_0491,2023-01-01 10:00:00,out,B2,ORD_0010
LOG_00011,ITEM_0461,2023-01-01 11:00:00,out,B20,ORD_0011
LOG_00012,ITEM_0998,2023-01-01 12:00:00,out,B10,ORD_0012
LOG_00013,ITEM_0899,2023-01-01 13:00:00,in,B17,ORD_0013
LOG_00014,ITEM_0265,2023-01-01 14:00:00,out,B18,ORD_0014
LOG_00015,ITEM_0353,2023-01-01 15:00:00,out,B20,ORD_0015
LOG_00016,ITEM_0657,2023-01-01 16:00:00,in,B17,ORD_0016
LOG_00017,ITEM_0090,2023-01-01 17:00:00,out,B19,ORD_0017
LOG_00018,ITEM_0150,2023-01-01 18:00:00,in,B8,ORD_0018
LOG_00019,ITEM_0072,2023-01-01 19:00:00,in,B15,ORD_0019
LOG_00020,ITEM_0254,2023-01-01 20:00:00,in,B5,ORD_0020
LOG_00021,ITEM_0207,2023-01-01 21:00:00,out,B5,ORD_0021
LOG_00022,ITEM_0580,2023-01-01 22:00:00,out,B16,ORD_0022
LOG_00023,ITEM_0055,2023-01-01 23:00:00,in,B17,ORD_0023
LOG_00024,ITEM_0565,2023-01-02 00:00:00,out,B9,ORD_0024
LOG_00025,ITEM_0547,2023-01-02 01:00:00,out,B13,ORD_0025
LOG_00026,ITEM_0350,2023-01-02 02:00:00,out,B11,ORD_0026
LOG_00027,ITEM_0276,2023-01-02 03:00:00,in,B12,ORD_0027
LOG_00028,ITEM_0418,2023-01-02 04:00:00,out,B14,ORD_0028
LOG_00029,ITEM_0255,2023-01-02 05:00:00,out,B9,ORD_0029
LOG_00030,ITEM_0836,2023-01-02 06:00:00,out,B1,ORD_0030
LOG_00031,ITEM_0649,2023-01-02 07:00:00,out,B19,ORD_0031
LOG_00032,ITEM_0163,2023-01-02 08:00:00,out,B20,ORD_0032
LOG_00033,ITEM_0400,2023-01-02 09:00:00,in,B2,ORD_0033
LOG_00034,ITEM_0767,2023-01-02 10:00:00,out,B2,ORD_0034
LOG_00035,ITEM_0637,2023-01-02 11:00:00,out,B15,ORD_0035
LOG_00036,ITEM_0511,2023-01-02 12:00:00,out,B1,ORD_0036
LOG_00037,ITEM_0653,2023-01-02 13:00:00,in,B15,ORD_0037
LOG_00038,ITEM_0813,2023-01-02 14:00:00,in,B3,ORD_0038
LOG_00039,ITEM_0374,2023-01-02 15:00:00,in,B19,ORD_0039
LOG_00040,ITEM_0098,2023-01-02 16:00:00,out,B2,ORD_0040
LOG_00041,ITEM_0453,2023-01-02 17:00:00,in,B16,ORD_0041
LOG_00042,ITEM_0852,2023-01-02 18:00:00,in,B16,ORD_0042
LOG_00043,ITEM_0715,2023-01-02 19:00:00,in,B17,ORD_0043
LOG_00044,ITEM_0229,2023-01-02 20:00:00,out,B18,ORD_0044
LOG_00045,ITEM_0774,2023-01-02 21:00:00,out,B17,ORD_0045
LOG_00046,ITEM_0007,2023-01-02 22:00:00,out,B8,ORD_0046
LOG_00047,ITEM_0703,2023-01-02 23:00:00,out,B13,ORD_0047
LOG_00048,ITEM_0977,2023-01-03 00:00:00,out,B1,ORD_0048
LOG_00049,ITEM_0708,2023-01-03 01:00:00,out,B16,ORD_0049
LOG_00050,ITEM_0712,2023-01-03 02:00:00,in,B4,ORD_0050
LOG_00051,ITEM_0972,2023-01-03 03:00:00,in,B14,ORD_0051
LOG_00052,ITEM_0321,2023-01-03 04:00:00,out,B3,ORD_0052
LOG_00053,ITEM_0263,2023-01-03 05:00:00,in,B7,ORD_0053
LOG_00054,ITEM_0792,2023-01-03 06:00:00,out,B15,ORD_0054
LOG_00055,ITEM_0304,2023-01-03 07:00:00,in,B2,ORD_0055
LOG_00056,ITEM_0784,2023-01-03 08:00:00,out,B6,ORD_0056
LOG_00057,ITEM_0033,2023-01-03 09:00:00,in,B16,ORD_0057
LOG_00058,ITEM_0346,2023-01-03 10:00:00,out,B9,ORD_0058
