zone_id,rack_id,bin_id,capacity,accessibility,current_utilization
ZONE_1,R1,B1,"{'length': 86, 'width': 48, 'height': 7}",1,0.76
ZONE_1,R1,B2,"{'length': 77, 'width': 34, 'height': 5}",3,0.52
ZONE_1,R1,B3,"{'length': 84, 'width': 20, 'height': 6}",1,0.42
ZONE_1,R1,B4,"{'length': 51, 'width': 37, 'height': 6}",5,0.48
ZONE_1,R1,B5,"{'length': 20, 'width': 37, 'height': 5}",2,0.39
ZONE_1,R1,B6,"{'length': 93, 'width': 29, 'height': 22}",2,0.7
ZONE_1,R1,B7,"{'length': 38, 'width': 10, 'height': 11}",4,0.87
ZONE_1,R1,B8,"{'length': 29, 'width': 25, 'height': 9}",1,0.64
ZONE_1,R1,B9,"{'length': 80, 'width': 45, 'height': 21}",3,0.84
ZONE_1,R1,B10,"{'length': 52, 'width': 41, 'height': 22}",5,0.65
ZONE_1,R1,B11,"{'length': 56, 'width': 48, 'height': 28}",2,0.84
ZONE_1,R1,B12,"{'length': 78, 'width': 36, 'height': 13}",4,0.31
ZONE_1,R1,B13,"{'length': 93, 'width': 41, 'height': 20}",5,0.72
ZONE_1,R1,B14,"{'length': 77, 'width': 19, 'height': 18}",3,0.73
ZONE_1,R1,B15,"{'length': 81, 'width': 12, 'height': 13}",5,0.88
ZONE_1,R1,B16,"{'length': 79, 'width': 26, 'height': 7}",2,0.51
ZONE_1,R1,B17,"{'length': 89, 'width': 19, 'height': 17}",3,0.61
ZONE_1,R1,B18,"{'length': 90, 'width': 17, 'height': 21}",3,0.43
ZONE_1,R1,B19,"{'length': 88, 'width': 46, 'height': 28}",1,0.67
ZONE_1,R1,B20,"{'length': 71, 'width': 10, 'height': 12}",2,0.48
ZONE_1,R2,B1,"{'length': 15, 'width': 15, 'height': 21}",4,0.47
ZONE_1,R2,B2,"{'length': 19, 'width': 35, 'height': 18}",5,0.87
ZONE_1,R2,B3,"{'length': 64, 'width': 14, 'height': 27}",5,0.61
ZONE_1,R2,B4,"{'length': 46, 'width': 15, 'height': 23}",1,0.5
ZONE_1,R2,B5,"{'length': 50, 'width': 14, 'height': 20}",1,0.78
ZONE_1,R2,B6,"{'length': 60, 'width': 49, 'height': 20}",4,0.7
ZONE_1,R2,B7,"{'length': 91, 'width': 20, 'height': 13}",3,0.47
ZONE_1,R2,B8,"{'length': 42, 'width': 13, 'height': 18}",2,0.87
ZONE_1,R2,B9,"{'length': 95, 'width': 43, 'height': 10}",4,0.77
ZONE_1,R2,B10,"{'length': 31, 'width': 42, 'height': 14}",3,0.79
ZONE_1,R2,B11,"{'length': 38, 'width': 43, 'height': 9}",2,0.87
ZONE_1,R2,B12,"{'length': 14, 'width': 41, 'height': 13}",2,0.51
ZONE_1,R2,B13,"{'length': 31, 'width': 31, 'height': 17}",3,0.69
ZONE_1,R2,B14,"{'length': 55, 'width': 10, 'height': 10}",5,0.71
ZONE_1,R2,B15,"{'length': 70, 'width': 32, 'height': 14}",5,0.86
ZONE_1,R2,B16,"{'length': 31, 'width': 40, 'height': 22}",3,0.6
ZONE_1,R2,B17,"{'length': 20, 'width': 21, 'height': 11}",3,0.86
ZONE_1,R2,B18,"{'length': 52, 'width': 42, 'height': 13}",2,0.52
ZONE_1,R2,B19,"{'length': 78, 'width': 34, 'height': 15}",1,0.5
ZONE_1,R2,B20,"{'length': 90, 'width': 45, 'height': 11}",5,0.78
ZONE_1,R3,B1,"{'length': 44, 'width': 41, 'height': 18}",4,0.89
ZONE_1,R3,B2,"{'length': 36, 'width': 23, 'height': 6}",5,0.71
ZONE_1,R3,B3,"{'length': 43, 'width': 20, 'height': 18}",4,0.38
ZONE_1,R3,B4,"{'length': 85, 'width': 22, 'height': 14}",4,0.46
